GENERATION,BEST,AVG,WORST
377,-45597.1,-55924.13,-118149.15
378,-45597.1,-55502.15,-142913.96
379,-45597.1,-55667.08,-121547.7
380,-45597.1,-56222.86,-144224.44
381,-45597.1,-56118.74,-128118.78
382,-45597.1,-55627.09,-156832.99
383,-45591.59,-56774.02,-129129.67
384,-45591.59,-56951.37,-139624.06
385,-45591.59,-56204.26,-131220.85
386,-45591.59,-55213.62,-127429.47
387,-45591.59,-58267.84,-129251.36
388,-45591.59,-56287.3,-148782.28
389,-45591.59,-55747.12,-138443.06
390,-45591.59,-57606.87,-118269.81
391,-44573.96,-57177.98,-132859.49
392,-44573.96,-58838.7,-135433.74
393,-44573.96,-58835.26,-141972.79
394,-44573.96,-56375.3,-129707.39
395,-44573.96,-54864.55,-118737.79
396,-44573.96,-56682.63,-141620.48
397,-44573.96,-56725.2,-139239.31
398,-44573.96,-57259.15,-119026.6
399,-44573.96,-59173.56,-137941.99
400,-44573.96,-59207.86,-139420.71
401,-44573.96,-58214.32,-129075.35
402,-44573.96,-55724.98,-125280.44
403,-44573.96,-55225.8,-116443.03
404,-44573.96,-55914.35,-151496.07
405,-44573.96,-56220.1,-137952.04
406,-44464.84,-53812.47,-135592.76
407,-44573.96,-56231.69,-170265.93
408,-44573.96,-55166.18,-133702.86
409,-44573.96,-56790.34,-146038.76
410,-44573.96,-54210.47,-119902.31
411,-44573.96,-54964.91,-129235.07
412,-44573.96,-53017.07,-155780.11
413,-44573.96,-54017.44,-120035.83
414,-44573.96,-56138.45,-152567.32
415,-44573.96,-54014.54,-142162.16
416,-44573.96,-54882.46,-119378.86
417,-44573.96,-56029.85,-125454.13
418,-44573.96,-55156.9,-131669.71
419,-44573.96,-55139.54,-143553.16
420,-44573.96,-54238.86,-149463.32
421,-44573.96,-55900.85,-128517.15
422,-44464.84,-54642.31,-142985.79
423,-44464.84,-55141.32,-155494.18
424,-44464.84,-55389.54,-122306.78
425,-44464.84,-55113.06,-152572.31
426,-44464.84,-55349.53,-115175.21
427,-44464.84,-55413.08,-124990.33
428,-44464.84,-57944.15,-120281.27
429,-44464.84,-55709.95,-120564.62
430,-44464.84,-53948.37,-135927.43
431,-44464.84,-55190.34,-132269.64
432,-44464.84,-55587.31,-143795.31
433,-44464.84,-54522.5,-131026.53
434,-44464.84,-53554.12,-128844.55
435,-44464.84,-54089.44,-125466.38
436,-44464.84,-54308.08,-120427.78
437,-44464.84,-57462.51,-163570.11
438,-44464.84,-54941.47,-134111.71
439,-44464.84,-53959.62,-127865.82
440,-44464.84,-55153.07,-145982.98
441,-44464.84,-55554.06,-133190.06
442,-44464.84,-55062.36,-118896.75
443,-44464.84,-53688.19,-131694.39
444,-44464.84,-54197.56,-122767.61
445,-44464.84,-54805.14,-131683.69
446,-44464.84,-55443.22,-122103.19
447,-44464.84,-54898.24,-150883.55
448,-44464.84,-55264.38,-140604.05
449,-44464.84,-54268.15,-140443.96
450,-44464.84,-55170.71,-132380.57
451,-44464.84,-54680.54,-148415.43
452,-44464.84,-55328.8,-143961.67
453,-44464.84,-55804.3,-116439.29
454,-44464.84,-54693.82,-134640.52
455,-44464.84,-54834.57,-123352.56
456,-44464.84,-54978.29,-135318.24
457,-44464.84,-55623.13,-124820.56
458,-44464.84,-55903.7,-114924.36
459,-44464.84,-54934.22,-135382.28
460,-44464.84,-54319.73,-133967.77
461,-44464.84,-54016.97,-128864.64
462,-44464.84,-55169.39,-140966.28
463,-44464.84,-55070.7,-117751.07
464,-44464.84,-55344.41,-113599.39
465,-44464.84,-54905.38,-127960.58
466,-44464.84,-52163.52,-116849.64
467,-44464.84,-55325.46,-122446.47
468,-44464.84,-56826.84,-145294.34
469,-44464.84,-54768.93,-142698.15
470,-44464.84,-54968.3,-135413.64
471,-44464.84,-53372.93,-126993.68
472,-44464.84,-55035.66,-160804.14
473,-44464.84,-55169.56,-132009.59
474,-44464.84,-54601.81,-141160.36
475,-44464.84,-55876.96,-133209.22
476,-44464.84,-53257.75,-118137.73
477,-44464.84,-54403.15,-142234.19
478,-44464.84,-54709.41,-134089.76
479,-44464.84,-53886.58,-133872.78
480,-44464.84,-53509.54,-153605.15
481,-44464.84,-54950.3,-132135.28
482,-44464.84,-54895.05,-124775.86
483,-44464.84,-54639.25,-137518.26
484,-44464.84,-52927.61,-122404.32
485,-44464.84,-55819.82,-141141.99
486,-44464.84,-55245.59,-143442.12
487,-44464.84,-56667.94,-131811.61
488,-44464.84,-56070.18,-129423.36
489,-44464.84,-55727.63,-143423.96
490,-44464.84,-52858.19,-124193.04
491,-44464.84,-55062.39,-136736.14
492,-44464.84,-55266.25,-119699.8
493,-44464.84,-54213.63,-145593.53
494,-44464.84,-55696.86,-119769.72
495,-44464.84,-54851.48,-136262.63
496,-44464.84,-55148.89,-132700.28
497,-44464.84,-55575.66,-134137.03
498,-44464.84,-52640.5,-118923.65
499,-44464.84,-56542.52,-139909.19
500,-44464.84,-54361.21,-121669.83
501,-44464.84,-54939.02,-122729.69
502,-44464.84,-55220.04,-124420.83
503,-44464.84,-55641.51,-122503.69
504,-44464.84,-54751.55,-144863.93
505,-44464.84,-54335.78,-114957.67
506,-44464.84,-53521.38,-125721.5
507,-44464.84,-55796.57,-143658.74
508,-44464.84,-54796.43,-138884.57
509,-44464.84,-56115.15,-146833.85
510,-44464.84,-55595.6,-121218.1
511,-44464.84,-56124.27,-134206.2
512,-44464.84,-54579.63,-126340.31
513,-44464.84,-54464.53,-129236.31
514,-44464.84,-55539.8,-136328.37
515,-44464.84,-53699.46,-145226.01
